4  2  3  3  20  
3, 8  -0.645694627644   2, 10  0.0804863133093   1, 6  0.462913655377   1, 10  0.268142135586   0, 7  0.45673314001   2, 3  0.286017451927   
3, 8  -0.0216248115354   2, 10  0.00269554876559   1, 6  0.0155033356731   1, 5  0.773163668365   1, 10  -0.115919038737   0, 7  0.0152963454423   0, 14  0.622687507605   2, 3  0.00957894526138   
3, 8  -0.218467658197   2, 10  -0.0706973998041   1, 6  -0.406613129902   1, 5  0.0469409515799   1, 10  -0.215181992534   3, 4  -0.582600657834   0, 7  0.399378677671   0, 14  -0.101445947369   2, 6  -0.401369433768   2, 3  -0.25123141213   
1, 3  0.12944936102   3, 8  -0.0454677296161   2, 10  -0.00923345956848   1, 12  0.102172968311   1, 5  0.444247608644   1, 10  -0.0982766496275   3, 1  -0.276247693308   1, 9  -0.123088785938   3, 2  -0.171565802567   3, 4  -0.0886490194899   0, 7  0.0694175332894   0, 14  -0.571315135927   2, 6  0.547506145383   2, 3  -0.0328121697921   1, 6  -0.0531058554539   
1, 3  -0.302809301307   3, 8  0.374009366507   2, 10  0.0139476364468   1, 6  0.0802192460556   1, 5  0.0614847319231   1, 10  0.18420223162   3, 1  -0.0150579266959   1, 9  -0.00670942042465   3, 2  0.522388158061   3, 4  -0.164944808803   0, 7  0.305802105715   0, 13  -0.55271005694   0, 14  -0.0393954046486   2, 6  0.143777929702   2, 3  0.0495645442424   1, 12  0.005569324575   
1, 3  -0.00631933243639   3, 8  -0.193388573755   2, 10  -0.0535313500263   1, 6  -0.307883314554   1, 5  -0.0684378086276   1, 10  0.21998832421   3, 1  0.0741432864107   1, 9  0.0330363196899   3, 2  -0.00272953625754   3, 4  0.128724531612   0, 7  0.0380591826996   0, 13  -0.0946883193087   0, 14  0.129101707648   2, 9  -0.0638874895394   2, 6  0.238117070432   2, 5  0.81477366509   2, 3  -0.190229862733   1, 12  -0.0274226349627   
1, 3  -0.0553474341457   3, 8  -0.182051047175   2, 10  0.675578452107   1, 6  0.0178967916283   1, 5  0.0860768370009   1, 10  0.185441033398   3, 1  0.0619671193335   1, 9  0.0276109363864   3, 2  0.0836335587939   3, 4  -0.413908512169   0, 7  -0.51402782605   0, 13  -0.0875229392508   0, 14  -0.069681858829   2, 9  -0.0178380523563   2, 6  -0.03104466232   2, 5  0.0593191868446   2, 3  0.0169224534384   1, 12  -0.0229191579635   
1, 3  -0.00447883972366   3, 8  -0.0377317067675   2, 10  -0.16531638772   1, 6  0.272042754671   1, 5  0.325825589802   1, 10  -0.0335424111076   3, 1  0.12782744753   1, 9  -0.102461859881   3, 2  0.0497846640898   3, 4  0.271242324063   0, 7  -0.198576539559   0, 13  -0.239948435419   0, 14  -0.411291265146   2, 9  -0.0174685022805   2, 6  -0.575579189403   2, 5  0.255025176452   2, 3  -0.13040861428   1, 12  0.0850510652365   
1, 3  -0.663582519629   3, 8  -0.0704694538926   2, 10  -0.020859167441   1, 6  -0.0903566936429   1, 5  -0.0300456886548   1, 10  -0.0587313142142   3, 1  -0.00503564657416   1, 9  -0.695269251829   3, 2  -0.131052385899   3, 4  0.0150643875782   0, 7  -0.0515827454733   0, 13  0.140879297865   0, 14  0.0255260192517   2, 9  -0.00189635576113   2, 6  0.000239956069331   2, 5  0.0265800649256   2, 3  0.130454859012   1, 12  -0.00514164307651   
1, 3  -0.289802411193   3, 8  -0.0818767285509   2, 10  -0.173146862555   1, 12  0.147576884852   2, 12  -0.518438767515   1, 10  0.0289617240282   3, 1  -0.0108336616403   1, 9  0.295977412219   3, 2  -0.040167708694   3, 4  -0.0654450674015   0, 7  -0.109915388492   0, 13  0.0449041366319   1, 5  0.0232707554271   0, 11  -0.688254114283   0, 14  -0.0230850991056   2, 9  -0.000229467937727   2, 6  0.046048968504   2, 5  -0.0313695419486   2, 3  -0.0374658565778   1, 6  0.0307198103397   
1, 3  -0.405275863269   3, 8  -0.21760841956   2, 10  -0.128206568789   1, 6  0.188264443107   1, 5  -0.0716822701717   1, 10  -0.588238500526   3, 1  0.0235324325132   1, 9  0.436610573193   3, 2  0.0646112233758   3, 4  -0.061460392555   0, 7  -0.156138148132   0, 13  -0.0681273905126   0, 11  0.260987682057   2, 12  0.196593277707   0, 14  -0.0289847876739   2, 9  -0.0148035396143   2, 6  0.172844460989   2, 5  0.110116850457   2, 3  0.0409244241776   1, 12  -0.0755065352056   
1, 3  0.276892537769   3, 8  -0.0848804779838   2, 10  0.0340298666711   1, 6  0.277189600244   1, 5  -0.272103452991   1, 10  -0.358232280438   3, 1  -0.306966677387   1, 9  -0.337677333808   3, 2  -0.0812948938973   3, 4  -0.112094708735   0, 7  -0.0777388344937   0, 13  -0.409852730555   0, 11  -0.127614634508   2, 12  -0.0961278290363   0, 14  0.266004266249   2, 9  -0.00640204904781   2, 6  0.0565792735474   2, 5  0.0845868619859   2, 3  -0.189840120458   1, 12  0.302640278668   
1, 3  0.0609457840828   3, 8  0.128548389201   2, 10  0.266007080368   1, 6  0.106211001871   1, 5  2.81460459085e-16   1, 10  -0.260901335467   3, 1  0.807589077544   1, 9  -0.0873971488585   3, 2  -0.177934993116   3, 4  0.0292385708191   0, 7  0.240200163305   0, 13  -0.0315097824517   0, 11  -0.0951586791628   2, 12  -0.0716798451614   0, 14  -0.0523318687409   2, 9  -0.00743050434381   2, 6  0.185039692638   2, 5  0.00486854249178   2, 3  -0.0955262743399   1, 12  0.135026223659   
1, 3  -0.0256377314776   3, 8  -0.415759604206   2, 10  0.205513772449   1, 6  -0.421867793192   1, 5  2.40632247807e-17   1, 10  -0.11377626625   3, 1  0.0108077862908   1, 9  -0.0195256411645   3, 2  0.286777284323   3, 4  0.512361086609   0, 7  -0.00985859593801   0, 13  -0.250861088729   0, 11  -0.0437935188753   2, 12  -0.0329881906692   0, 14  -0.0228213650979   2, 9  0.026164066959   2, 6  0.0504261918472   2, 5  -0.37610249044   2, 3  -0.191231225977   1, 12  0.0165804489719   
1, 3  0.156358726825   3, 8  -0.252022624343   2, 10  -0.583209361415   1, 6  -0.0519046616641   1, 5  1.36929662859e-16   1, 10  0.221948288648   3, 1  0.384194687769   1, 9  -0.15713367902   3, 2  0.0920576263329   3, 4  -0.278524771218   0, 7  -0.35045291296   0, 13  -0.185385288542   0, 11  0.085231825654   2, 12  0.0642022789666   0, 14  0.0445186249736   2, 9  -0.0108668280907   2, 6  0.198585160722   2, 5  -0.224054558817   2, 3  0.0307249248681   1, 12  0.0186860641066   
1, 3  0.274211450795   3, 8  -0.0214227723845   2, 10  -0.0111212819958   1, 6  -0.133304099796   1, 5  -2.4565575047e-16   1, 10  -0.323199404845   3, 1  0.0541740588337   1, 9  -0.15430226984   3, 2  0.494484373578   3, 4  -0.0236755441811   0, 7  -0.0494162395513   0, 13  0.203779087938   0, 11  -0.154682256759   2, 12  -0.116516962102   0, 14  -0.064827682086   2, 9  0.289644725155   2, 6  -0.0222663152186   2, 5  0.234387844259   2, 3  0.552428678359   1, 12  5.48782730317e-05   
1, 3  -0.0345366469149   3, 8  0.0369702335696   2, 10  0.0191924922508   1, 6  -0.331218159158   1, 5  -3.99876331832e-15   1, 10  0.028177344082   3, 1  0.000202882027775   1, 9  0.179388618176   3, 2  -0.425312328704   3, 4  0.0408579423127   0, 7  -0.000185063978999   0, 13  -0.388879190408   0, 11  0.0673484523127   2, 12  0.0507313329284   0, 14  0.00565184179424   2, 9  -0.060204174572   2, 6  -0.132040452351   2, 5  -0.000208404476136   2, 3  0.588010093576   1, 12  0.382947451729   
1, 3  -0.0902246938365   3, 8  -0.00279372024166   2, 10  -0.00145031418284   1, 6  0.020773296234   1, 5  -5.31096355837e-16   1, 10  0.109941621991   3, 1  0.000695095479332   1, 9  0.0605464122782   3, 2  0.0855538144934   3, 4  -0.00308750173991   0, 7  -0.000634048942567   0, 13  0.160634052497   0, 11  0.560225289552   2, 12  -0.496946962204   0, 14  0.0220522080536   2, 9  0.365476956605   2, 6  0.00868531313963   2, 5  -0.000714015976658   2, 3  -0.141578047341   1, 12  0.477014899577   
1, 3  -0.0991762491544   3, 8  -0.00307089648045   2, 10  -0.00159420569519   1, 6  0.0228342986321   1, 5  -3.42163570912e-14   1, 10  0.120849373175   3, 1  0.00076405870169   1, 9  0.066553465733   3, 2  0.0347071329719   3, 4  -0.00339382522457   0, 7  -0.000696955492159   0, 13  0.119487572183   0, 11  -0.285226066109   2, 12  0.621151468331   0, 14  0.0242400964451   2, 9  0.531642584125   2, 6  0.00954701804228   2, 5  -0.000784856377923   2, 3  -0.155624575722   1, 12  0.424708208182   
